"participant","file","session","stimuli","occurrence","start","end","duration"
"Participant1","Participant1_Session1_Corrected.vtt","Session1","wanderer",1,2023-07-09 00:02:56.93,2023-07-09 00:13:29.98,633.049999952316
"Participant1","Participant1_Session1_Corrected.vtt","Session1","arrival-2",1,2023-07-09 00:15:25,2023-07-09 00:20:00.977,275.976999998093
"Participant1","Participant1_Session1_Corrected.vtt","Session1","quest",1,2023-07-09 00:19:57.22,2023-07-09 00:36:45.67,1008.45000004768
"Participant1","Participant1_Session1_Corrected.vtt","Session1","quest",2,2023-07-09 00:37:27.88,2023-07-09 00:48:53.1,685.219999790192
"Participant1","Participant1_Session1_Corrected.vtt","Session1","return",1,2023-07-09 00:51:16.17,2023-07-09 01:01:39.62,623.449999809265
"Participant1","Participant1_Session1_Corrected.vtt","Session1","return",2,2023-07-09 01:02:23.78,2023-07-09 01:14:06.32,702.539999961853
"Participant1","Participant1_Session1_Corrected.vtt","Session1","escape_from_the_zoo",1,2023-07-09 01:15:47.77,2023-07-09 01:19:53.03,245.259999990463
"Participant1","Participant1_Session1_Corrected.vtt","Session1","unfriendly_giants",1,2023-07-09 01:21:08.11,2023-07-09 01:24:46.69,218.580000162125
"Participant1","Participant1_Session1_Corrected.vtt","Session1","wild_west",1,2023-07-09 01:25:48.64,2023-07-09 01:29:58.715,250.074999809265
"Participant1","Participant1_Session2_Corrected.vtt","Session2","flowerman",1,2023-07-09 00:03:59.98,2023-07-09 00:35:38.32,1898.33999991417
"Participant1","Participant1_Session2_Corrected.vtt","Session2","arrival-4",1,2023-07-09 00:37:14.59,2023-07-09 01:04:37.526,1642.93600010872
"Participant1","Participant1_Session2_Corrected.vtt","Session2","arrival-3",1,2023-07-09 01:05:38.67,2023-07-09 01:12:36.434,417.763999938965
"Participant1","Participant1_Session2_Corrected.vtt","Session2","arrival-1",1,2023-07-09 01:13:52.7,2023-07-09 01:20:28.55,395.849999904633
"Participant1","Participant1_Session2_Corrected.vtt","Session2","exhibit-12",1,2023-07-09 01:21:38.85,2023-07-09 01:24:29.361,170.511000156403
"Participant1","Participant1_Session2_Corrected.vtt","Session2","by_the_lake",1,2023-07-09 01:25:32.55,2023-07-09 01:29:13.73,221.180000066757
"Participant1","Participant1_Session2_Corrected.vtt","Session2","make_a_splash",1,2023-07-09 01:30:05.33,2023-07-09 01:32:53.876,168.546000003815
"Participant1","Participant1_Session2_Corrected.vtt","Session2","being_a_pirate",1,2023-07-09 01:34:05.39,2023-07-09 01:38:42.453,277.06299996376
"Participant1","Participant1_Session2_Corrected.vtt","Session2","ancient_rome",1,2023-07-09 01:38:39.07,2023-07-09 01:43:02.98,263.910000085831
"Participant1","Participant1_Session2_Corrected.vtt","Session2","journey",1,2023-07-09 01:43:50.48,2023-07-09 02:05:47.71,1317.23000001907
"Participant1","Participant1_Session3_Corrected .vtt","Session3","dinosaurs_spacemen_and_ghouls",1,2023-07-09 00:03:33.46,2023-07-09 00:10:14.77,401.30999994278
"Participant1","Participant1_Session3_Corrected .vtt","Session3","picture_this",1,2023-07-09 00:11:19.95,2023-07-09 00:15:31.469,251.519000053406
"Participant1","Participant1_Session3_Corrected .vtt","Session3","waldo-1",1,2023-07-09 00:16:37.236,2023-07-09 00:19:47.364,190.128000020981
"Participant1","Participant1_Session3_Corrected .vtt","Session3","deep_sea_diver",1,2023-07-09 00:20:51.38,NA,NA
"Participant1","Participant1_Session3_Corrected .vtt","Session3","deep_sea_divers",1,NA,2023-07-09 00:26:10.97,NA
"Participant1","Participant1_Session3_Corrected .vtt","Session3","airport",1,2023-07-09 00:26:57.46,2023-07-09 00:31:47.61,290.149999856949
"Participant1","Participant1_Session3_Corrected .vtt","Session3","birthday_party_fun",1,NA,2023-07-09 00:37:09.79,NA
"Participant1","Participant1_Session3_Corrected .vtt","Session3","campsite",1,2023-07-09 00:38:59.75,2023-07-09 00:43:58.28,298.52999997139
"Participant1","Participant1_Session3_Corrected .vtt","Session3",NA,1,NA,NA,NA
"Participant1","Participant1_Session3_Corrected .vtt","Session3","arrival-6",1,NA,2023-07-09 00:56:12.918,NA
"Participant1","Participant1_Session3_Corrected .vtt","Session3","arrival-5",1,2023-07-09 00:57:27.65,2023-07-09 01:07:24.68,597.02999997139
"Participant10","Participant10_Session2_Corrected.vtt","Session2","deep_sea_diver",1,2023-07-09 00:00:54.95,NA,NA
"Participant10","Participant10_Session2_Corrected.vtt","Session2","deep_sea_divers",1,NA,2023-07-09 00:05:50.99,NA
"Participant10","Participant10_Session2_Corrected.vtt","Session2","exhibit-12",1,2023-07-09 00:06:30.91,2023-07-09 00:11:32.012,301.101999998093
"Participant10","Participant10_Session2_Corrected.vtt","Session2","wild_west",1,2023-07-09 00:12:06.36,2023-07-09 00:16:49.08,282.72000002861
"Participant10","Participant10_Session2_Corrected.vtt","Session2","quest",1,2023-07-09 00:18:33.96,2023-07-09 00:34:13.84,939.879999876022
"Participant10","Participant10_Session2_Corrected.vtt","Session2","arrival-1",1,2023-07-09 00:34:55.66,2023-07-09 00:38:17.963,202.302999973297
"Participant10","Participant10_Session2_Corrected.vtt","Session2","picture_this",1,2023-07-09 00:39:28.47,2023-07-09 00:46:05.036,396.565999984741
"Participant10","Participant10_Session2_Corrected.vtt","Session2","wanderer",1,2023-07-09 00:47:07.37,2023-07-09 01:15:17.934,1690.5640001297
"Participant10","Participant10_Session2_Corrected.vtt","Session2","birthday_party_fun",1,2023-07-09 01:16:04.51,2023-07-09 01:19:46.61,222.099999904633
"Participant10","Participant10_Session2_Corrected.vtt","Session2","journey",1,2023-07-09 01:20:17.81,2023-07-09 01:27:24.664,426.854000091553
"Participant10","Participant10_Session2_Corrected.vtt","Session2","arrival-2",1,2023-07-09 01:27:49.81,2023-07-09 01:29:44.47,114.660000085831
"Participant10","Participant10_Session2_Corrected.vtt","Session2","arrival-3",1,2023-07-09 01:30:02.76,2023-07-09 01:32:18.228,135.46799993515
"Participant10","Participant10_Session2_Corrected.vtt","Session2","campsite",1,2023-07-09 01:32:44.46,2023-07-09 01:38:18.53,334.069999933243
"Participant10","Participant10_Session2_Corrected.vtt","Session2","airport",1,2023-07-09 01:38:50.39,2023-07-09 01:42:53.773,243.382999897003
"Participant11","Participant11_Session1_Corrected .vtt","Session1","wanderer",1,2023-07-09 00:01:02.28,2023-07-09 00:43:23.071,2540.79100012779
"Participant11","Participant11_Session1_Corrected .vtt","Session1","airport",1,2023-07-09 00:44:30.06,2023-07-09 00:54:29.24,599.180000066757
"Participant11","Participant11_Session1_Corrected .vtt","Session1","waldo-1",1,2023-07-09 00:55:21.98,2023-07-09 01:04:54.396,572.415999889374
"Participant11","Participant11_Session1_Corrected .vtt","Session1","picture_this",1,2023-07-09 01:05:39.87,2023-07-09 01:09:55.096,255.226000070572
"Participant11","Participant11_Session1_Corrected .vtt","Session1","flowerman",1,2023-07-09 01:10:43.93,2023-07-09 01:24:29.465,825.534999847412
"Participant11","Participant11_Session2_Corrected.vtt","Session2","dinosaurs_spacemen_and_ghouls",1,2023-07-09 00:01:00.85,2023-07-09 00:04:50.387,229.537000179291
"Participant11","Participant11_Session2_Corrected.vtt","Session2","arrival-6",1,2023-07-09 00:05:28.05,2023-07-09 00:23:25.224,1077.1740000248
"Participant11","Participant11_Session2_Corrected.vtt","Session2","quest",1,2023-07-09 00:23:22.06,2023-07-09 00:45:19.232,1317.17200016975
"Participant11","Participant11_Session2_Corrected.vtt","Session2","arrival-1",1,2023-07-09 00:46:02.49,2023-07-09 00:55:54.704,592.213999986649
"Participant11","Participant11_Session2_Corrected.vtt","Session2","wild_west",1,2023-07-09 00:56:48.01,2023-07-09 01:01:41.009,292.999000072479
"Participant11","Participant11_Session2_Corrected.vtt","Session2","arrival-2",1,2023-07-09 01:02:20.53,2023-07-09 01:08:15.642,355.111999988556
"Participant11","Participant11_Session2_Corrected.vtt","Session2","being_a_pirate",1,2023-07-09 01:08:47.05,2023-07-09 01:13:22.191,275.141000032425
"Participant11","Participant11_Session2_Corrected.vtt","Session2","exhibit-12",1,2023-07-09 01:14:33.91,2023-07-09 01:17:20.72,166.80999994278
"Participant11","Participant11_Session2_Corrected.vtt","Session2","unfriendly_giants",1,2023-07-09 01:18:12.288,2023-07-09 01:21:57.058,224.769999980927
"Participant11","Participant11_Session2_Corrected.vtt","Session2","birthday_party_fun",1,2023-07-09 01:22:44.92,2023-07-09 01:26:28.93,224.009999990463
"Participant11","Participant11_Session2_Corrected.vtt","Session2","ancient_rome",1,2023-07-09 01:26:56.37,2023-07-09 01:30:21.601,205.231000185013
"Participant11","Participant11_Session2_Corrected.vtt","Session2","escape_from_the_zoo",1,2023-07-09 01:31:11.139,2023-07-09 01:31:15.531,4.39199995994568
"Participant11","Participant11_Session2_Corrected.vtt","Session2","by_the_lake",1,2023-07-09 01:34:54.48,2023-07-09 01:37:13.213,138.733000040054
"Participant11","Participant11_Session2_Corrected.vtt","Session2","deep_sea_divers",1,2023-07-09 01:37:42.93,2023-07-09 01:40:15.46,152.52999997139
"Participant11","Participant11_Session3_Corrected.vtt","Session3","journey",1,2023-07-09 00:00:29.87,2023-07-09 00:31:36.732,1866.86200022697
"Participant11","Participant11_Session3_Corrected.vtt","Session3","arrival-4",1,2023-07-09 00:32:54.78,2023-07-09 01:02:01.785,1747.00500011444
"Participant11","Participant11_Session3_Corrected.vtt","Session3","return",1,2023-07-09 01:03:02.21,2023-07-09 01:19:34.512,992.302000045776
"Participant11","Participant11_Session3_Corrected.vtt","Session3","make_a_splash",1,2023-07-09 01:20:27.49,2023-07-09 01:24:13.65,226.160000085831
"Participant11","Participant11_Session3_Corrected.vtt","Session3","campsite",1,2023-07-09 01:24:36.77,2023-07-09 01:29:45.357,308.587000131607
"Participant11","Participant11_Session3_Corrected.vtt","Session3","arrival-5",1,2023-07-09 01:30:14.64,2023-07-09 01:37:38.667,444.026999950409
"Participant11","Participant11_Session3_Corrected.vtt","Session3","arrival-3",1,2023-07-09 01:38:06.12,2023-07-09 01:42:13.607,247.487000226974
"Participant12","Participant12_Session1_Corrected.vtt","Session1","quest",1,2023-07-09 00:01:26.86,2023-07-09 00:01:32.69,5.83000016212463
"Participant12","Participant12_Session1_Corrected.vtt","Session1","wild_west",1,2023-07-09 00:14:45.5,2023-07-09 00:14:48.41,2.91000008583069
"Participant12","Participant12_Session1_Corrected.vtt","Session1","arrival_1",1,2023-07-09 00:18:38.74,2023-07-09 00:18:42.182,3.44199991226196
"Participant12","Participant12_Session1_Corrected.vtt","Session1","by_the_lake",1,2023-07-09 00:24:08.41,2023-07-09 00:24:12.001,3.59099984169006
"Participant12","Participant12_Session1_Corrected.vtt","Session1","waldo_1",1,2023-07-09 00:27:53.77,2023-07-09 00:31:17.89,204.120000123978
"Participant12","Participant12_Session1_Corrected.vtt","Session1","arrival_2",1,2023-07-09 00:32:04.89,2023-07-09 00:34:52.53,167.639999866486
"Participant12","Participant12_Session1_Corrected.vtt","Session1","journey",1,2023-07-09 00:35:55.78,2023-07-09 00:35:59.773,3.99300003051758
"Participant12","Participant12_Session1_Corrected.vtt","Session1","birthday_party_fun",1,2023-07-09 00:48:48.82,2023-07-09 00:48:52.883,4.06299996376038
"Participant12","Participant12_Session1_Corrected.vtt","Session1","arrival_5",1,2023-07-09 00:52:23.37,2023-07-09 00:52:24.62,1.25
"Participant12","Participant12_Session1_Corrected.vtt","Session1","campsite",1,2023-07-09 00:58:48.22,2023-07-09 01:02:31.99,223.769999980927
"Participant12","Participant12_Session1_Corrected.vtt","Session1","picture_this",1,2023-07-09 01:03:13.45,2023-07-09 01:03:14.37,0.919999837875366
"Participant12","Participant12_Session1_Corrected.vtt","Session1","exhibit_12",1,2023-07-09 01:07:15.09,2023-07-09 01:07:19.472,4.38199996948242
"Participant12","Participant12_Session1_Corrected.vtt","Session1","arrival_3",1,2023-07-09 01:11:16.48,2023-07-09 01:14:13.48,177
"Participant12","Participant12_Session1_Corrected.vtt","Session1","airport",1,2023-07-09 01:14:53.14,2023-07-09 01:14:58.447,5.30699992179871
"Participant12","Participant12_Session1_Corrected.vtt","Session1","dinasours_spacemen_and_ghouls",1,2023-07-09 01:19:19.08,2023-07-09 01:19:21.58,2.5
"Participant12","Participant12_Session1_Corrected.vtt","Session1","being_a_pirate",1,2023-07-09 01:23:58.03,2023-07-09 01:24:02.415,4.38499999046326
"Participant12","Participant12_Session2_Corrected.vtt","Session2","return",1,2023-07-09 00:00:42.99,2023-07-09 00:15:37.83,894.839999914169
"Participant12","Participant12_Session2_Corrected.vtt","Session2","make_a_splash",1,2023-07-09 00:15:37.134,2023-07-09 00:21:59.63,382.496000051498
"Participant12","Participant12_Session2_Corrected.vtt","Session2","escape_from_the_zoo",1,2023-07-09 00:22:37.68,2023-07-09 00:22:38.99,1.30999994277954
"Participant12","Participant12_Session2_Corrected.vtt","Session2","deep_sea_divers",1,NA,2023-07-09 00:22:38.99,NA
"Participant12","Participant12_Session2_Corrected.vtt","Session2","ancient_rome",1,2023-07-09 00:31:55.88,2023-07-09 00:35:08.52,192.639999866486
"Participant12","Participant12_Session2_Corrected.vtt","Session2","flowerman",1,2023-07-09 00:35:51.17,2023-07-09 00:35:55.93,4.75999999046326
"Participant12","Participant12_Session2_Corrected.vtt","Session2","arrival_6",1,2023-07-09 00:51:29.6,2023-07-09 00:51:31.16,1.56000018119812
"Participant12","Participant12_Session2_Corrected.vtt","Session2","arrival_4",1,2023-07-09 01:00:07.47,2023-07-09 01:10:27.17,619.700000047684
"Participant12","Participant12_Session2_Corrected.vtt","Session2","wanderer",1,2023-07-09 01:11:24.39,2023-07-09 01:36:30,1505.6099998951
"Participant12","Participant12_Session2_Corrected.vtt","Session2","unfriendly_giants",1,2023-07-09 01:37:13.49,2023-07-09 01:37:16.17,2.6800000667572
"Participant13","Participant13_Session1_Corrected.vtt","Session1","journey",1,2023-07-09 00:02:09.88,2023-07-09 00:02:16.569,6.68899989128113
"Participant13","Participant13_Session1_Corrected.vtt","Session1","arrival_2",1,2023-07-09 00:24:57.17,2023-07-09 00:28:35.16,217.990000009537
"Participant13","Participant13_Session1_Corrected.vtt","Session1","dinasours_spacemen_and_ghouls",1,2023-07-09 00:29:34.2,2023-07-09 00:29:39.156,4.95599985122681
"Participant13","Participant13_Session1_Corrected.vtt","Session1","wanderer",1,2023-07-09 00:32:46.14,2023-07-09 00:58:22.03,1535.88999986649
"Participant13","Participant13_Session1_Corrected.vtt","Session1","being_a_pirate",1,2023-07-09 00:58:49.71,2023-07-09 00:58:55.622,5.91199994087219
"Participant13","Participant13_Session1_Corrected.vtt","Session1","exhibit_12",1,2023-07-09 01:03:00.13,2023-07-09 01:03:04.182,4.05199980735779
"Participant13","Participant13_Session1_Corrected.vtt","Session1","wild_west",1,2023-07-09 01:03:00.13,2023-07-09 01:11:58.36,538.229999780655
"Participant13","Participant13_Session2_Corrected.vtt","Session2","ancient_rome",1,2023-07-09 00:01:01.37,2023-07-09 00:01:07.57,6.20000004768372
"Participant13","Participant13_Session2_Corrected.vtt","Session2","waldo_1",1,2023-07-09 00:05:23.12,2023-07-09 00:05:26.13,3.01000022888184
"Participant13","Participant13_Session2_Corrected.vtt","Session2","flowerman",1,2023-07-09 00:11:24.42,2023-07-09 00:11:27.664,3.24399995803833
"Participant13","Participant13_Session2_Corrected.vtt","Session2","deep_sea_divers",1,2023-07-09 00:32:00.285,2023-07-09 00:36:39.649,279.363999843597
"Participant13","Participant13_Session2_Corrected.vtt","Session2","campsite",1,2023-07-09 00:37:45.46,2023-07-09 00:43:15.12,329.659999847412
"Participant13","Participant13_Session2_Corrected.vtt","Session2","arrival_6",1,2023-07-09 00:44:52.85,2023-07-09 00:44:53.17,0.320000171661377
"Participant13","Participant13_Session2_Corrected.vtt","Session2","picture_this",1,2023-07-09 00:57:14.15,2023-07-09 01:00:36.57,202.419999837875
"Participant13","Participant13_Session2_Corrected.vtt","Session2","arrival_5",1,2023-07-09 01:01:29.13,2023-07-09 01:01:33.076,3.94599986076355
"Participant13","Participant13_Session3_Corrected.vtt","Session3","arrival-1",1,2023-07-09 00:00:23.89,2023-07-09 00:00:27.445,3.55499982833862
"Participant13","Participant13_Session3_Corrected.vtt","Session3","arrival-4",1,2023-07-09 00:05:16.53,NA,NA
"Participant13","Participant13_Session3_Corrected.vtt","Session3","arrival_1",1,NA,2023-07-09 00:05:22.957,NA
"Participant13","Participant13_Session3_Corrected.vtt","Session3","make_a_splash",1,2023-07-09 00:23:56.99,2023-07-09 00:24:01.352,4.36199998855591
"Participant13","Participant13_Session3_Corrected.vtt","Session3","return",1,2023-07-09 00:29:25.07,2023-07-09 00:29:28.791,3.72099995613098
"Participant13","Participant13_Session3_Corrected.vtt","Session3","unfriendly_giants",1,2023-07-09 00:45:41.2,2023-07-09 00:45:44.397,3.19700002670288
"Participant13","Participant13_Session3_Corrected.vtt","Session3","escape_from_the_zoo",1,2023-07-09 00:49:20.75,2023-07-09 00:52:31.41,190.660000085831
"Participant13","Participant13_Session3_Corrected.vtt","Session3","airport",1,2023-07-09 00:52:45.53,2023-07-09 00:52:50.382,4.85199999809265
"Participant13","Participant13_Session3_Corrected.vtt","Session3","birthday_party_fun",1,2023-07-09 00:55:31.02,2023-07-09 00:58:12.729,161.709000110626
"Participant13","Participant13_Session3_Corrected.vtt","Session3","quest",1,2023-07-09 00:58:33.17,2023-07-09 01:12:47.46,854.289999961853
"Participant13","Participant13_Session3_Corrected.vtt","Session3","by_the_lake",1,2023-07-09 01:13:04.46,2023-07-09 01:15:21.449,136.988999843597
"Participant13","Participant13_Session3_Corrected.vtt","Session3","arrival_3",1,2023-07-09 01:15:40.2,2023-07-09 01:15:45.729,5.52900004386902
"Participant14","Participant14_Session1_Corrected.vtt","Session1","arrival_4",1,2023-07-09 00:01:09.36,2023-07-09 00:35:38.83,2069.47000002861
"Participant14","Participant14_Session1_Corrected.vtt","Session1","being_a_pirate",1,2023-07-09 00:35:37.053,2023-07-09 00:35:38.83,1.77699995040894
"Participant14","Participant14_Session1_Corrected.vtt","Session1","arrival_3",1,2023-07-09 00:41:06.481,2023-07-09 00:49:15.96,489.479000091553
"Participant14","Participant14_Session1_Corrected.vtt","Session1","campsite",1,2023-07-09 00:50:08.17,2023-07-09 00:54:08.98,240.80999994278
"Participant14","Participant14_Session1_Corrected.vtt","Session1","waldo_1",1,2023-07-09 00:54:06.763,2023-07-09 00:58:50.784,284.020999908447
"Participant14","Participant14_Session1_Corrected.vtt","Session1","wild_west",1,2023-07-09 00:59:16.92,2023-07-09 01:02:44.25,207.329999923706
"Participant14","Participant14_Session1_Corrected.vtt","Session1","flowerman",1,2023-07-09 01:02:43.496,2023-07-09 01:15:47.72,784.223999977112
"Participant14","Participant14_Session1_Corrected.vtt","Session1","arrival_6",1,2023-07-09 01:16:21.89,2023-07-09 01:16:25.93,4.03999996185303
"Participant14","Participant14_Session2_Corrected.vtt","Session2","escape_from_the_zoo",1,2023-07-09 00:00:30.86,2023-07-09 00:03:36.24,185.380000114441
"Participant14","Participant14_Session2_Corrected.vtt","Session2","make_a_splash",1,2023-07-09 00:04:24.96,2023-07-09 00:07:39.14,194.180000066757
"Participant14","Participant14_Session2_Corrected.vtt","Session2","unfriendly_giants",1,2023-07-09 00:08:42.94,2023-07-09 00:08:46.793,3.8529999256134
"Participant14","Participant14_Session2_Corrected.vtt","Session2","airport",1,2023-07-09 00:13:14.68,2023-07-09 00:13:19.257,4.57699990272522
"Participant14","Participant14_Session2_Corrected.vtt","Session2","return",1,2023-07-09 00:18:00.63,2023-07-09 00:18:05.578,4.94799995422363
"Participant14","Participant14_Session2_Corrected.vtt","Session2","birthday_party_fun",1,2023-07-09 00:53:14.47,2023-07-09 00:53:18.84,4.36999988555908
"Participant14","Participant14_Session2_Corrected.vtt","Session2","wanderer",1,2023-07-09 00:59:28.42,2023-07-09 01:57:53.84,3505.41999983788
"Participant14","Participant14_Session3_Corrected.vtt","Session3","deep_sea_divers",1,2023-07-09 00:00:32.533,2023-07-09 00:00:37.957,5.42400002479553
"Participant14","Participant14_Session3_Corrected.vtt","Session3","ancient_rome",1,2023-07-09 00:04:46.56,2023-07-09 00:04:52.44,5.88000011444092
"Participant14","Participant14_Session3_Corrected.vtt","Session3","arrival_5",1,2023-07-09 00:04:46.56,2023-07-09 00:04:52.44,5.88000011444092
"Participant14","Participant14_Session3_Corrected.vtt","Session3","picture_this",1,2023-07-09 00:25:04.01,2023-07-09 00:25:08.79,4.77999997138977
"Participant14","Participant14_Session3_Corrected.vtt","Session3","by_the_lake",1,2023-07-09 00:28:54.55,2023-07-09 00:28:59.38,4.83000016212463
"Participant14","Participant14_Session3_Corrected.vtt","Session3","quest",1,2023-07-09 00:33:39.77,2023-07-09 00:55:55.309,1335.53900003433
"Participant14","Participant14_Session3_Corrected.vtt","Session3","arrival_1",1,2023-07-09 00:55:53.306,2023-07-09 01:08:13.59,740.283999919891
"Participant14","Participant14_Session3_Corrected.vtt","Session3","journey",1,2023-07-09 01:08:54.58,2023-07-09 01:25:10.349,975.769000053406
"Participant14","Participant14_Session3_Corrected.vtt","Session3","exhibit_12",1,2023-07-09 01:26:16.92,2023-07-09 01:30:25.4,248.480000019073
"Participant14","Participant14_Session3_Corrected.vtt","Session3","dinasours_spacemen_and_ghouls",1,2023-07-09 01:30:53.28,2023-07-09 01:30:56.492,3.21200013160706
"Participant14","Participant14_Session3_Corrected.vtt","Session3","arrival_2",1,2023-07-09 01:30:53.28,2023-07-09 01:41:25.8,632.519999980927
"Participant15","Participant15_Session1_Corrected .vtt","Session1","journey",1,2023-07-09 00:00:48.29,2023-07-09 00:13:32.395,764.105000019073
"Participant15","Participant15_Session1_Corrected .vtt","Session1","arrival-5",1,2023-07-09 00:14:08.11,2023-07-09 00:23:27.215,559.105000019073
"Participant15","Participant15_Session1_Corrected .vtt","Session1","flowerman",1,2023-07-09 00:23:45.87,2023-07-09 00:40:14.397,988.527000188827
"Participant15","Participant15_Session1_Corrected .vtt","Session1","arrival-1",1,2023-07-09 00:41:11.34,2023-07-09 00:45:45.317,273.976999998093
"Participant15","Participant15_Session1_Corrected .vtt","Session1","campsite",1,2023-07-09 00:46:41.29,2023-07-09 00:49:01.593,140.302999973297
"Participant15","Participant15_Session1_Corrected .vtt","Session1","return",1,2023-07-09 00:49:59.71,2023-07-09 01:04:26.85,867.139999866486
"Participant15","Participant15_Session1_Corrected .vtt","Session1","picture_this",1,2023-07-09 01:04:47.21,2023-07-09 01:08:32.716,225.506000041962
"Participant15","Participant15_Session1_Corrected .vtt","Session1","deep_sea_divers",1,2023-07-09 01:10:00.057,2023-07-09 01:13:27.62,207.56299996376
"Participant15","Participant15_Session1_Corrected .vtt","Session1","wild_west",1,2023-07-09 01:13:48.27,2023-07-09 01:17:00.504,192.233999967575
"Participant15","Participant15_Session2_Corrected .vtt","Session2","airport",1,2023-07-09 00:00:43.79,2023-07-09 00:03:44.537,180.746999979019
"Participant15","Participant15_Session2_Corrected .vtt","Session2","escape_from_the_zoo",1,2023-07-09 00:04:00.83,2023-07-09 00:06:12.875,132.045000076294
"Participant15","Participant15_Session2_Corrected .vtt","Session2","ancient_rome",1,2023-07-09 00:06:39.8,2023-07-09 00:09:30.121,170.321000099182
"Participant15","Participant15_Session2_Corrected .vtt","Session2","arrival-4",1,2023-07-09 00:10:11.87,2023-07-09 00:22:05.58,713.710000038147
"Participant15","Participant15_Session2_Corrected .vtt","Session2","arrival-2",1,2023-07-09 00:22:36.13,2023-07-09 00:25:43.79,187.659999847412
"Participant15","Participant15_Session2_Corrected .vtt","Session2","waldo-1",1,2023-07-09 00:26:03.49,2023-07-09 00:28:14.24,130.75
"Participant15","Participant15_Session2_Corrected .vtt","Session2","wanderer",1,2023-07-09 00:28:58.55,2023-07-09 00:57:27.97,1709.42000007629
"Participant15","Participant15_Session2_Corrected .vtt","Session2","by_the_lake",1,2023-07-09 00:57:52.37,2023-07-09 01:01:05.346,192.976000070572
"Participant15","Participant15_Session2_Corrected .vtt","Session2","unfriendly_giants",1,2023-07-09 01:01:28.36,2023-07-09 01:04:41.657,193.297000169754
"Participant15","Participant15_Session2_Corrected .vtt","Session2","quest",1,2023-07-09 01:05:11.65,2023-07-09 01:15:15.23,603.579999923706
"Participant15","Participant15_Session2_Corrected .vtt","Session2","dinosaurs_spacemen_and_ghouls",1,2023-07-09 01:15:49.63,2023-07-09 01:19:51.163,241.532999992371
"Participant15","Participant15_Session2_Corrected .vtt","Session2","make_a_splash",1,2023-07-09 01:20:10.81,2023-07-09 01:22:05.643,114.832999944687
"Participant15","Participant15_Session2_Corrected .vtt","Session2","arrival-3",1,2023-07-09 01:22:28.15,2023-07-09 01:25:56.49,208.339999914169
"Participant15","Participant15_Session2_Corrected .vtt","Session2","exhibit-12",1,2023-07-09 01:26:05,2023-07-09 01:27:38.752,93.7520000934601
"Participant15","Participant15_Session2_Corrected .vtt","Session2","being_a_pirate",1,2023-07-09 01:28:04.68,2023-07-09 01:30:21.41,136.730000019073
"Participant15","Participant15_Session2_Corrected .vtt","Session2","birthday_party_fun",1,2023-07-09 01:30:36.39,2023-07-09 01:32:54.422,138.031999826431
"Participant15","Participant15_Session3_Corrected .vtt","Session3","arrival-6",1,2023-07-09 00:00:19.1,2023-07-09 00:08:46.13,507.030000209808
"Participant16","Participant16_Session1_Corrected.vtt","Session1","airport",1,2023-07-09 00:01:20.58,2023-07-09 00:01:24.956,4.37600016593933
"Participant16","Participant16_Session1_Corrected.vtt","Session1","wanderer",1,2023-07-09 00:07:57.98,2023-07-09 01:13:38.93,3940.95000004768
"Participant16","Participant16_Session1_Corrected.vtt","Session1","quest",1,2023-07-09 01:14:28.52,2023-07-09 01:40:25.55,1557.02999997139
"Participant16","Participant16_Session1_Corrected.vtt","Session1","by_the_lake",1,2023-07-09 01:40:55.92,2023-07-09 01:43:19.62,143.699999809265
"Participant16","Participant16_Session1_Corrected.vtt","Session1","birthday_party_fun",1,2023-07-09 01:43:41.19,2023-07-09 01:46:11.41,150.22000002861
"Participant16","Participant16_Session2_Corrected.vtt","Session2","journey",1,2023-07-09 00:00:46.99,2023-07-09 00:00:52.128,5.13800001144409
"Participant16","Participant16_Session2_Corrected.vtt","Session2","waldo_1",1,2023-07-09 00:13:33.7,2023-07-09 00:13:37.37,3.66999983787537
"Participant16","Participant16_Session2_Corrected.vtt","Session2","picture_this",1,2023-07-09 00:17:49.4,2023-07-09 00:21:01.209,191.809000015259
"Participant16","Participant16_Session2_Corrected.vtt","Session2","ancient_rome",1,2023-07-09 00:21:16.24,2023-07-09 00:23:32.46,136.22000002861
"Participant16","Participant16_Session2_Corrected.vtt","Session2","exhibit_12",1,2023-07-09 00:24:06.27,2023-07-09 00:26:13.56,127.289999961853
"Participant16","Participant16_Session2_Corrected.vtt","Session2","escape_from_the_zoo",1,2023-07-09 00:26:40.52,2023-07-09 00:26:45.832,5.31200003623962
"Participant16","Participant16_Session2_Corrected.vtt","Session2","being_a_pirate",1,2023-07-09 00:29:56.65,2023-07-09 00:33:08.91,192.259999990463
"Participant16","Participant16_Session2_Corrected.vtt","Session2","unfriendly_giants",1,2023-07-09 00:33:56.61,2023-07-09 00:36:09.53,132.920000076294
"Participant16","Participant16_Session2_Corrected.vtt","Session2","campsite",1,2023-07-09 00:36:52.29,2023-07-09 00:36:56.593,4.30299997329712
"Participant16","Participant16_Session2_Corrected.vtt","Session2","wild_west",1,2023-07-09 00:39:46.02,2023-07-09 00:42:03.52,137.5
"Participant16","Participant16_Session2_Corrected.vtt","Session2","arrival_6",1,2023-07-09 00:42:56.76,2023-07-09 00:51:55.86,539.099999904633
"Participant16","Participant16_Session2_Corrected.vtt","Session2","return",1,2023-07-09 00:52:12.4,2023-07-09 01:05:45.97,813.569999933243
